Terminal,BT,BG,Cardinality,Datatype,Name
BT,1,0,1,I,Invoice number
BT,2,0,1,D,Invoice issue date
BT,3,0,1,C,Invoice type code
BT,5,0,1,C,Invoice currency code
BT,6,0,?,C,VAT accounting currency code
BT,7,0,?,D,Value added tax point date
BT,8,0,?,C,Value added tax point date code
BT,9,0,?,D,Payment due date
BT,10,0,1,I,Buyer reference
BT,11,0,?,I,Project reference
BT,12,0,?,I,Contract reference
BT,13,0,?,I,Purchase order reference
BT,14,0,?,I,Sales order reference
BT,15,0,?,I,Receiving advice reference
BT,16,0,?,I,Despatch advice reference
BT,17,0,?,I,Tender or lot reference
BT,18,0,?,I,Invoiced object identifier
BT,19,0,?,I,Buyer accounting reference
BT,20,0,?,T,Payment terms
BT,21,1,?,C,Invoice note subject code
BT,22,1,1,T,Invoice note
BT,23,2,1,I,Business process type
BT,24,2,1,I,Specification identifier
BT,25,3,?,I,Preceding Invoice reference
BT,26,3,?,D,Preceding Invoice issue date
BT,27,4,1,T,Seller name
BT,28,4,?,T,Seller trading name
BT,29,4,*,I,Seller identifier
BT,30,4,?,I,Seller legal registration identifier
BT,31,4,?,I,Seller VAT identifier
BT,32,4,?,I,Seller tax registration identifier
BT,33,4,?,T,Seller additional legal information
BT,34,4,1,I,Seller electronic address
BT,35,5,1,T,Seller address line 1
BT,36,5,?,T,Seller address line 2
BT,162,5,?,T,Seller address line 3
BT,37,5,1,T,Seller city
BT,38,5,1,T,Seller post code
BT,39,5,?,T,Seller country subdivision
BT,40,5,1,C,Seller country code
BT,41,6,?,T,Seller contact point
BT,42,6,?,T,Seller contact telephone number
BT,43,6,?,T,Seller contact email address
BT,44,7,1,T,Buyer name
BT,45,7,?,T,Buyer trading name
BT,46,7,?,I,Buyer identifier
BT,47,7,?,I,Buyer legal registration identifier
BT,48,7,?,I,Buyer VAT identifier
BT,49,7,1,I,Buyer electronic address
BT,50,8,1,T,Buyer address line 1
BT,51,8,?,T,Buyer address line 2
BT,163,8,?,T,Buyer address line 3
BT,52,8,1,T,Buyer city
BT,53,8,1,T,Buyer post code
BT,54,8,?,T,Buyer country subdivision
BT,55,8,1,C,Buyer country code
BT,56,9,?,T,Buyer contact point
BT,57,9,?,T,Buyer contact telephone number
BT,58,9,?,T,Buyer contact email address
BT,59,10,?,T,Payee name
BT,60,10,?,I,Payee identifier
BT,61,10,?,I,Payee legal registration identifier
BT,62,11,1,T,Seller tax representative name
BT,63,11,1,I,Seller tax representative VAT identifier
BT,64,12,?,T,Tax representative address line 1
BT,65,12,?,T,Tax representative address line 2
BT,164,12,?,T,Tax representative address line 3
BT,66,12,?,T,Tax representative city
BT,67,12,?,T,Tax representative post code
BT,68,12,?,T,Tax representative country subdivision
BT,69,12,?,C,Tax representative country code
BT,70,13,?,T,Deliver to party name
BT,71,13,?,I,Deliver to location identifier
BT,72,13,?,D,Actual delivery date
BT,73,14,?,D,Invoicing period start date
BT,74,14,?,D,Invoicing period end date
BT,75,15,?,T,Deliver to address line 1
BT,76,15,?,T,Deliver to address line 2
BT,165,15,?,T,Deliver to address line 3
BT,77,15,1,T,Deliver to city
BT,78,15,1,T,Deliver to post code
BT,79,15,?,T,Deliver to country subdivision
BT,80,15,1,C,Deliver to country code
BT,81,16,1,C,Payment means type code
BT,82,16,?,T,Payment means text
BT,83,16,?,T,Remittance information
BT,84,17,?,I,Payment account identifier
BT,85,17,?,T,Payment account name
BT,86,17,?,I,Payment service provider identifier
BT,87,18,?,I,Payment card primary account number
BT,88,18,?,T,Payment card holder name
